תאריך עדכון,קוד יישוב,שם יישוב,קוד רובע,שם רובע,חולים פעילים,"חולים חדשים ל-10,000 נפש",שיעור בדיקות חיוביות,יחס הכפלה,צבע לפי חישוב יומי,צבע לפי החלטת ממשלה,government_color_next_week,x,y
19/08/2021,8900,טמרה,-999,לא רלוונטי,92,18.35967756,4.7,120.7,כתום,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,1295,יאנוח-ג'ת,-999,לא רלוונטי,15>,2.947678703,0.8,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,46,יבנאל,-999,לא רלוונטי,22,29.86446129,6.1,-45.8,כתום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,2660,יבנה,-999,לא רלוונטי,573,84.2058723,7.6,4.5,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,577,יד בנימין,-999,לא רלוונטי,61,115.3212521,8.4,133.3,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,9400,יהוד,-999,לא רלוונטי,205,49.6617005,4.5,26.3,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,499,יפיע,-999,לא רלוונטי,79,35.75500052,9.3,392.9,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3647,יקיר,-999,לא רלוונטי,15>,54.50733753,4.9,30,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,240,יקנעם עילית,-999,לא רלוונטי,149,48.21079756,5.7,52.6,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,831,ירוחם,-999,לא רלוונטי,69,58.98876404,6.6,186.4,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007701,א-טור,15>,1.028983022,0.8,0,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007701,א-טור,15>,1.028983022,0.8,0,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007702,"בוכרים, גאולה, מקור ברוך ומאה שערים",101,13.95415649,4.4,106.1,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007702,"בוכרים, גאולה, מקור ברוך ומאה שערים",101,13.95415649,4.4,106.1,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007703,בית הכרם ורמת מוצא,55,18.93740137,2.4,-5.3,צהוב,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007703,בית הכרם ורמת מוצא,55,18.93740137,2.4,-5.3,צהוב,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007703,בית הכרם ורמת מוצא,55,18.93740137,2.4,-5.3,צהוב,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007703,בית הכרם ורמת מוצא,55,18.93740137,2.4,-5.3,צהוב,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007704,בית וגן,72,23.27485884,5.9,54.3,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007704,בית וגן,72,23.27485884,5.9,54.3,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007705,בית חנינא,23,2.697356591,1.5,-14.3,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007705,בית חנינא,23,2.697356591,1.5,-14.3,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007706,בית צפאפא,18,12.22244856,3.7,80,צהוב,,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3000,ירושלים,30007706,בית צפאפא,18,12.22244856,3.7,80,צהוב,,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3000,ירושלים,30007707,"בקעה, תלפיות, ארנונה, מקור חיים וגבעת חנניה",118,24.69737025,2.7,-5.3,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007707,"בקעה, תלפיות, ארנונה, מקור חיים וגבעת חנניה",118,24.69737025,2.7,-5.3,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007708,"גבעה צרפתית, גבעת המבתר והר הצופים",35,17.27257773,3.2,40,צהוב,,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3000,ירושלים,30007708,"גבעה צרפתית, גבעת המבתר והר הצופים",35,17.27257773,3.2,40,צהוב,,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3000,ירושלים,30007709,"גבעת שאול, גבעת מרדכי, וקריית משה",100,23.65247518,4.5,-6.6,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007709,"גבעת שאול, גבעת מרדכי, וקריית משה",100,23.65247518,4.5,-6.6,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007709,"גבעת שאול, גבעת מרדכי, וקריית משה",100,23.65247518,4.5,-6.6,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007709,"גבעת שאול, גבעת מרדכי, וקריית משה",100,23.65247518,4.5,-6.6,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007710,גוננים,139,39.76295163,4.5,73.3,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007710,גוננים,139,39.76295163,4.5,73.3,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007711,גילה,133,32.50536645,5.8,68.3,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007711,גילה,133,32.50536645,5.8,68.3,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007711,גילה,133,32.50536645,5.8,68.3,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007711,גילה,133,32.50536645,5.8,68.3,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007712,גינות העיר,119,23.65408269,2.5,47.1,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007712,גינות העיר,119,23.65408269,2.5,47.1,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007713,העיר העתיקה,20,5.154107824,2.8,50,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007713,העיר העתיקה,20,5.154107824,2.8,50,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007714,הר נוף,78,39.31379557,6.6,144.4,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007714,הר נוף,78,39.31379557,6.6,144.4,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
